id,text,Article Title,label,Comments
35,"Over the weekend, Trump prepared the groundwork for a new political assault, sending out a stream of frenzied fundraising appeals – including one titled “Maniacs want to seize Trump Tower” – and claimed he was standing in the way of the government coming after his millions of grassroots supporters.",Why this is a wild week for Trump even by his standards,Y,
36,"How an asset sweep might unfold

The consequences of an asset seizure could be devastating for Trump and distract from his general election campaign.",Why this is a wild week for Trump even by his standards,N,
37,"“If he can’t deliver the security, and the court doesn’t give him dispensation from having to deliver the security, then starting on Tuesday, New York Attorney General Letitia James can start trying to execute against his property, which would be broken down into three categories,” white-collar litigator Mitchell Epner said on CNN on Saturday.",Why this is a wild week for Trump even by his standards,Y,
38,One category could cover cash and bank and securities accounts.,Why this is a wild week for Trump even by his standards,Y,
39,A second would encompass personal property ranging from clothing to vehicles and planes.,Why this is a wild week for Trump even by his standards,Y,
40,The third contains real estate.,Why this is a wild week for Trump even by his standards,Y,
41,"“On that spectrum, the cash can get grabbed the most quickly; personal property will take a little bit longer.",Why this is a wild week for Trump even by his standards,Y,
42,"And the real estate takes the longest period of time, but that process will start on Tuesday.",Why this is a wild week for Trump even by his standards,Y,
43,"And once that starts, he really can’t do anything in order to stop it from happening,” Epner told Fredricka Whitfield.",Why this is a wild week for Trump even by his standards,Y,
44,"Video Ad Feedback Real estate CEO says Trump could sell Mar-a-Lago 'quickly' to secure $464 million bond 01:10 - Source: CNN

The spectacle of a presumptive nominee enduring such an ordeal would be explosive and could have unpredictable political consequences.",Why this is a wild week for Trump even by his standards,Y,
45,This may explain why there is no sign yet that James is targeting Trump Tower – one of the citadels of his empire – despite the ex-president’s claims over the weekend.,Why this is a wild week for Trump even by his standards,N,
46,"While Trump has successfully used his four criminal indictments to solidify his support base among Republican primary voters, the country is entering unprecedented territory with a presumptive nominee facing severe financial duress as a result of a fraud judgement.",Why this is a wild week for Trump even by his standards,Y,
47,"The staggering array of legal threats bearing down on Trump would be oppressive for any defendant, let alone a potential president, and raises the possibility that he could further alienate the moderate Republican, independent and suburban voters who helped Biden oust him after a single term in 2020.",Why this is a wild week for Trump even by his standards,N,
48,"Trump and his supporters have argued that the verdict against him in the case is massively inflated and have accused James, a Democrat, of bias.",Why this is a wild week for Trump even by his standards,Y,
49,"But Judge Arthur Engoron found that the ex-president, his adult sons and the firm had for years inflated the value of their assets to get better treatment from insurance firms and banks in a way that threatened the integrity of the financial system.",Why this is a wild week for Trump even by his standards,Y,
50,"On Sunday, Trump used Truth Social to lash out at the prosecutor and judge, once again conflating his legal defense with his campaign.",Why this is a wild week for Trump even by his standards,Y,
51,"“THESE ARE NOT THE PEOPLE THAT MADE AMERICA GREAT, THESE ARE THE PEOPLE THAT ARE DESTROYING AMERICA!”",Why this is a wild week for Trump even by his standards,N,
52,Trump wrote.,Why this is a wild week for Trump even by his standards,Y,
53,"The White House has done its best not to comment on the case, to avoid giving Trump more political ammunition.",Why this is a wild week for Trump even by his standards,Y,
54,But some leading Democrats argue he’s now finding out that the law does not favor the rich and famous.,Why this is a wild week for Trump even by his standards,Y,
55,"“It is my belief that all people should be treated equally under the law,” Rep. Alexandria Ocasio-Cortez said on CNN’s “State of the Union” on Sunday.",Why this is a wild week for Trump even by his standards,Y,
56,"The New York Democrat added: “And if that seizure of assets would be pursued to any other American, then Donald Trump should be treated the same.”",Why this is a wild week for Trump even by his standards,Y,
57,"Trump awaits a massive financial boost – on paper, at least

Despite his money woes in New York, Trump could get a massive boost as early as Tuesday when a merger closes between Trump Media and Technology Group and Digital World Acquisition Corp., a shell company.",Why this is a wild week for Trump even by his standards,N,
58,"The former president will not be able to turn around and use his new wealth on paper to finance his bond, however, since he’s restricted from selling his shares for six months – and if he does so eventually, the value of the securities could plummet.",Why this is a wild week for Trump even by his standards,Y,
59,"There are also long-term concerns about the prospects of the firm, which is minuscule compared with social media giants such as X or Facebook.",Why this is a wild week for Trump even by his standards,Y,
60,"Still, the merger agreement calls for Trump to own roughly 79 million shares of the new public company – and potentially tens of millions more if certain goals are hit.",Why this is a wild week for Trump even by his standards,Y,
61,"At times last week, Digital World was trading at around $43, although it eventually fell back.",Why this is a wild week for Trump even by his standards,Y,
62,"But Trump’s stake could be in the region of $3 billion, at least initially.",Why this is a wild week for Trump even by his standards,Y,
63,Only Trump could face a potentially existential threat to his financial security and his firm while at the same time getting a potential $3 billion windfall.,Why this is a wild week for Trump even by his standards,N,
64,"Monday could have been far worse for Trump, as it was the original date set for the debut of the hush money trial.",Why this is a wild week for Trump even by his standards,N,
65,"But Judge Juan Merchan delayed proceedings until at least the middle of next month after more than 100,000 documents were turned over by the US attorney for the Southern District of New York related to the prosecution of Michael Cohen, Trump’s former lawyer, who is a key witness in the case.",Why this is a wild week for Trump even by his standards,Y,
66,The former president’s attorneys are now calling for a delay of 90 days or even a dismissal of the 34 counts of falsifying business records.,Why this is a wild week for Trump even by his standards,Y,
67,Merchan could indicate on Monday whether the delay he has already put in place is sufficient to allow the trial to move ahead.,Why this is a wild week for Trump even by his standards,N,
68,Trump has portrayed the case in the same way as all the others – as an attempt to keep him out of the White House.,Why this is a wild week for Trump even by his standards,N,
69,The former president has also pleaded not guilty in three other criminal cases – two over his attempt to overturn the 2020 election and one concerning the classified documents found at his Mar-a-Lago resort after he left the White House.,Why this is a wild week for Trump even by his standards,Y,
70,"Some legal analysts, meanwhile, argue the Manhattan trial is the least threatening criminal case to Trump since it is unlikely to lead to jail time, even if he is found guilty.",Why this is a wild week for Trump even by his standards,Y,
71,"And since the alleged criminality in question dates to before the 2016 election, there’s also an argument that its impact on a general election eight years later could be limited.",Why this is a wild week for Trump even by his standards,N,
72,But America has never seen an ex-president go on trial for anything – let alone months from the date when he will ask voters for a second term.,Why this is a wild week for Trump even by his standards,Y,
73,The only certainty about Trump is that he never stops shattering precedent.,Why this is a wild week for Trump even by his standards,N,
74,"Johannesburg CNN —

When Duane Riley turns on his taps, they shudder loudly from the air flowing through the pipes.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
75,There’s often no water trickling at all.,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
76,"It’s ironic, because Johannesburg, South Africa’s biggest city, has plenty of water at the moment — authorities and water companies just can’t seem to get it to where it’s needed.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
77,"“There have been times where we’ve had no water, but I’ve had a river gushing down my driveway, because there was a leak at the top of our street,” Riley told CNN.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
78,"It took authorities 14 days to fix it, he said.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
79,Joburgers — as residents here call themselves — are no strangers to water scarcity.,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
80,"South Africa is naturally dry, and the climate crisis has hit the nation many times with crippling drought.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
81,"Johannesburg is one of many of the world’s big cities that are dealing with a perfect storm of crumbling critical infrastructure, lack of maintenance, corruption and insufficient planning for population growth.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
82,"While drought can hurt the city’s reservoirs, the dams are currently full, authorities say.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
83,But climate change is making things worse in another way — officials say a weeks-long heat wave is boosting water demand in enormous volumes.,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
84,"In February, Southern Africa saw temperatures of 4 to 5 degrees Celsius (around 7 to 9 degrees Fahrenheit) above average.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
85,"At around 9 p.m., Riley’s home typically loses water until around six in the morning.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
86,"“But there have been multiple times where we’ve been without water for five, seven days,” he said.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
87,"It’s impacting many parts of the city, from the wealthy northern suburbs to parts of the largest township, Soweto.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
88,"In both places, people have been forced to collect water in buckets from wherever they can.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
89,"Two months out from an election, authorities are blaming the latest shortages on a lightning strike on a pumping station, and also pointing to the heat wave.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
90,But locals are no longer buying the excuses.,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
91,“The heat wave we’ve been battling for two weeks.,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
92,"But we’ve been dealing with this long, long before that,” says Riley, who lives in Kensington, a hilly suburb east of the city.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
93,He says the battle has been going on for about a year.,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
94,"“They are just grabbing at straws trying to save face, and whatever excuse they can find to not really reflect the biggest issue,” added Riley.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
95,"That issue, he said, is maintenance.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
96,"Riley recently organized two protests against the lack of basic services, including water and electricity supply, in his area, which hundreds of people attended.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
97,"Ravin Singh founded the Water Crisis Committee civic group last September, after his neighborhood northeast of downtown Johannesburg was suddenly hit with prolonged outages.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
98,He’s had periods of more than a week without water.,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
99,"“The current situation is that we have water for parts of the day,” he said.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
100,"Residents hold placards during a protest against water shortages in the Blairgowrie area of Johannesburg on March 12, 2024.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
101,"For some who do get water, it often comes at a trickle, with low to no pressure at all, Singh says.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
102,"“Young families are able to cope, although it impacts on their work [and] life.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
103,"They have to change the patterns of when they bathe, when they cook, those kinds of things,” he said.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
104,"“But people in old-age homes, for example, it’s very difficult.”",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
105,"Singh says in the seven or eight months since the problems began in his area, he’s only seen a water tanker to provide emergency supplies around three times.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
106,And it’s difficult for the elderly to walk and carry water home.,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
107,"On Wednesday, Senzo Mchunu, the government minister for Water and Sanitation, urged the City of Johannesburg to work on its turnaround time in responding to pipe bursts and leaks “as this is what is contributing to the high physical water losses.”",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
108,"In a statement, Mchunu said “it was clear” the city “requires serious interventions and funding to deal with its water infrastructure renewal program.”

Johannesburg Water said in a statement Wednesday that its systems were “steadily improving and stabilising” after the trouble over the past two or so weeks.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
109,"The company called on residents and businesses to help cut water use by 10%, requesting people fix leaks on their properties, take shorter showers and collect rainwater for outdoor use.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
110,"This is a message it has been urged to pass on by the area’s supplier, Rand Water.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
111,"In a statement on March 18, Rand Water said the metro areas of Ekurhuleni and Johannesburg must reduce their water consumption to avert interrupted supply.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
112,"Johannesburg’s reservoirs have long struggled with fluctuating levels, affected by natural events and high consumption.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
113,"In September last year, authorities warned the city’s reservoirs and water towers were “critically low to empty” following a thunderstorm that caused a power failure at a treatment plant.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
114,"Because many reservoirs are powered by electric pumps, high levels of scheduled power outages, or “load shedding” as it’s known in South Africa, have also cause low water levels at reservoirs.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
115,Now Joburgers also talk about “water shedding.”,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
116,"But Singh concedes that people could be doing more to lower water consumption, voluntarily.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
117,"“I think it’s important, even if we didn’t have this crisis, we need to remind citizens that we live in a water-scarce country,” he said.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
118,“And we need to cut consumption.”,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
119,"If behaviors do not change, and maintenance and modernization of the water system are not taken seriously, Johannesburg could find itself in an even bleaker situation.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
120,"It doesn’t need to look far to see what that future could be: Only two years ago, the South African city of Cape Town was counting down to “Day Zero,” the day all taps would run dry.",Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
121,It averted that crisis.,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,Y,
122,Now Joburgers are wondering if their city can do the same.,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,N,
123,"CNN —

Writer and illustrator Laurent de Brunhoff, who continued his father’s legacy by producing dozens of original books for his “Babar the Elephant” series, has died aged 98.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
124,"De Brunhoff died at his home in Key West, Florida on Friday following a recent stroke, his wife, the critic and author Phyllis Rose, told CNN via email.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
125,"A citizen of both France and the US, de Brunhoff published more than 40 books featuring Babar, an impeccably well-dressed elephant dreamed up by his mother, Cécile, and brought to life by his illustrator father, Jean, in the 1930s.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
126,"“The start — (the) very start of Babar — was a bed(time) story from my mother,” de Brunhoff told CNN in an interview, aired in 2003.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
127,“And my brother and I loved the story.,"Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",N,
128,We went to my father’s studio and told him about it.,"Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",N,
129,He started to make a book for us.,"Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",N,
130,After the first book he made another one and another one.,"Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",N,
131,"And he just discovered himself, I think.”

De Brunhoff was just 12 when his father died of tuberculosis, in 1937, having published five books for the series.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
132,"These early titles see the green-suited Babar leave the jungle for Paris when his mother is shot by a hunter, before embarking on various adventures and being crowned king of the elephants.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
133,A further two of his father’s books were published posthumously — and a then-teenage de Brunhoff colored and designed a cover illustration for the seventh and last of his Babar titles.,"Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
134,"Sharing his father’s gift for illustration, de Brunhoff studied at the Académie de la Grande Chaumière art school in the French capital and worked as an abstract painter.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
135,"In 1946, at the age of 21, he revived Babar with the first of his own books, “Babar’s Cousin: That Rascal Arthur.”","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
136,"“I wanted Babar to live again,” he told CNN in 2003.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
137,"Global phenomenon

In the decades after his father’s death, de Brunhoff introduced new characters and storylines, helping popularize the series and bring it to a global audience.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
138,"His original tales saw Babar traveling around the world with his family, learning how to cook, taking up yoga and even visiting an alien planet.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
139,"His most recent book for the series, “Babar’s Guide to Paris,” was published in 2017, more than 70 years after he first revived the character.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
140,Children's author and illustrator Laurent de Brunhoff working at his home during a BBC television interview in 1969.,"Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
141,"Malcolm Winton/Radio Times/Getty Images

Despite capturing the imagination of generations of children, the series has been accused of being an allegory of — and justification for — French colonialism.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
142,Some of Jean de Brunhoff’s original illustrations and storylines have meanwhile been criticized for employing racist stereotypes.,"Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
143,"In the 1980s, Chilean author Ariel Dorfman argued that Babar’s story — including his adoption of human clothes and mannerisms, and the subsequent depictions of him bringing the benefits of human civilization back to the jungle — represented the “fulfillment of the dominant countries’ colonial dream.”

“Babar slips progress into the jungle without upsetting the ecological balance, because (Jean) de Brunhoff omits all the plundering, racism, underdevelopment and misery from his story of the relationship between the two worlds,” Dorfman wrote in his 1983 book, “The Empire’s Old Clothes: What the Lone Ranger, Babar, and Other Innocent Heroes Do to Our Minds.”","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
144,"When asked about Dorfman’s critique by National Geographic in 2014, de Brunhoff appeared to accept the idea that the series perpetuated myths about French colonialism.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
145,“I think it’s right.,"Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",N,
146,"Absolutely,” he told the magazine.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",N,
147,"“In some way, it’s a little embarrassing to see Babar fighting with Black people in Africa.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",N,
148,"My second book, ‘Babar’s Picnic,’ was also inspired by my father’s drawing.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
149,"Some years later, I felt embarrassed about this book, and I asked the publisher to withdraw it.”","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
150,"The series has been translated into numerous languages, and Babar was also adapted for TV on several occasions, beginning with a production for NBC in the late 1960s.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
151,"A later series, “Babar,” premiered in 1989 on CBC in Canada and HBO in the US (HBO is owned by CNN’s parent company, Warner Bros. Discovery), while the more recent “Babar and the Adventures of Badou” aired on various channels globally, including Disney Junior, between 2010 and 2015.","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
152,Tributes to de Brunhoff flooded in over the weekend following news of his death.,"Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",N,
153,"Writing to X, formerly Twitter, the Oscar-nominated writer, director and actor Whit Stillman described his Babar books as “exquisitely beautiful and charming.”

New York’s Mary Ryan Gallery, which represented de Brunhoff’s illustrations, said on Instagram that the writer and illustrator’s “love for Babar, his art and family story have touched millions across the globe.”","Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98",Y,
154,"CNN —

Los Angeles Dodgers superstar Shohei Ohtani is expected to address the media Monday as Major League Baseball investigates allegations of theft against his longtime interpreter.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
155,"“I’m happy he’s going to speak – speak to what he knows and give his thoughts on the whole situation,” Dodgers manager Dave Roberts told reporters Sunday.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
156,"“I think it’ll give us a little bit more clarity.”

Will Ireton, a Dodgers employee, will serve as Ohtani’s interpreter, Roberts said.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
157,"The allegations came to light last week when Ohtani’s Japanese interpreter, Ippei Mizuhara, was fired after Ohtani’s lawyers accused him of “massive theft” of millions of dollars and placing bets with a bookmaker under federal investigation, according to ESPN and the Los Angeles Times, which first reported the story.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
158,"Ohtani signed an unparalleled 10-year, $700 million deal with the Dodgers this offseason.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
159,"Ohtani, who doesn’t speak often with reporters, has not spoken publicly since Mizuhara’s firing.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
160,"The scandal has threatened to overshadow the start of MLB’s Opening Day on Thursday, challenged the public’s understanding of one of baseball’s biggest stars, and brought renewed scrutiny to professional sports’ closeness with gambling.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,N,
161,The MLB and the Internal Revenue Service are separately investigating Mizuhara.,Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
162,"“Major League Baseball has been gathering information since we learned about the allegations involving Shohei Ohtani and Ippei Mizuhara from the news media,” the league said in a news release last week.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
163,"“Earlier today, our Department of Investigations began their formal process investigating the matter.”",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
164,"The IRS Criminal Investigation Los Angeles Field Office is investigating both Mizuhara and Mathew Bowyer, IRS spokesman Scott Villiard told CNN on Friday.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
165,"Bowyer, a former bookmaker, is a California resident who bankruptcy court documents show had gambling debts of $425,000 more than a decade ago.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
166,"Ohtani and Mizuhara first worked together from 2013 to 2017 when Mizuhara served as a translator for the Nippon-Ham Fighters, Ohtani’s team with Japan’s Nippon Professional Baseball League, according to MLB.com.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
167,"When Ohtani joined the Los Angeles Angels in 2018, he asked Mizuhara to join him as his translator in his rookie season, and Mizuhara eventually followed the star to the Dodgers, CNN previously reported.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
168,"ESPN’s Tisha Thompson, citing multiple unnamed sources, said on CNN’s “The Lead” Wednesday at least $4.5 million was withdrawn via wire transfer from Ohtani’s bank accounts, though it is unclear who initiated the transfers.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
169,CNN has sought comment from Mizuhara and Ohtani’s agent.,Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
170,"attorneys have not detailed how they believe the funds were stolen, fueling questions about the scandal that emerged as Ohtani made his much-anticipated debut with the Los Angeles Dodgers.",Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,Y,
